"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"112","0.7054","0.7137","0.7013","0.7114","0.7058"
"113","0.7157","0.7302","0.7171","0.696","0.7018"
"114","0.7077","0.7125","0.705","0.7017","0.6992"
"115","0.7029","0.7222","0.7131","0.7071","0.7137"
"116","0.6959","0.6996","0.7069","0.7081","0.7008"
"117","0.7053","0.7188","0.7182","0.7263","0.7108"
"118","0.7068","0.7146","0.7157","0.7097","0.7075"
"119","0.7174","0.7092","0.7186","0.7109","0.6927"
"120","0.7258","0.7016","0.7217","0.7121","0.7227"
"121","0.7739","0.7677","0.7643","0.7682","0.7683"
"122","0.7754","0.7594","0.7652","0.7709","0.7765"
"123","0.7733","0.7709","0.774","0.7708","0.7716"
"124","0.7735","0.7727","0.7562","0.7789","0.7721"
"125","0.7765","0.7784","0.778","0.7776","0.7742"
"126","0.7782","0.7697","0.7687","0.7775","0.7756"
"127","0.7777","0.7714","0.7836","0.7713","0.7711"
"128","0.7812","0.7766","0.7762","0.7814","0.7773"
"129","0.7749","0.7756","0.7715","0.7673","0.7662"
"130","0.7807","0.7673","0.7792","0.7833","0.7762"
"131","0.7801","0.779","0.7766","0.7704","0.7769"
"132","0.7732","0.7743","0.7771","0.7826","0.7751"
"133","0.7783","0.7784","0.7823","0.7752","0.775"
"134","0.7729","0.7756","0.7779","0.7784","0.7686"
"135","0.7747","0.7641","0.7783","0.7823","0.7716"
"136","0.7691","0.7785","0.7708","0.7796","0.7703"
"137","0.7679","0.772","0.7759","0.7758","0.7779"
"138","0.7812","0.7793","0.7798","0.7781","0.7685"
"139","0.7724","0.785","0.7826","0.7757","0.7721"
"140","0.7762","0.7769","0.78","0.7802","0.7728"
"141","0.7745","0.7853","0.7771","0.772","0.7804"
"142","0.7752","0.7785","0.772","0.7733","0.7708"
"143","0.7803","0.7791","0.7776","0.7802","0.781"
"144","0.7713","0.7768","0.7745","0.7836","0.7712"
"145","0.7781","0.7816","0.7762","0.7863","0.7773"
"146","0.7689","0.7718","0.7797","0.7698","0.7741"
"147","0.7804","0.7738","0.7703","0.7705","0.7831"
"148","0.7765","0.7775","0.7719","0.7775","0.7764"
"149","0.7771","0.7734","0.7758","0.781","0.7715"
"150","0.7748","0.776","0.772","0.7797","0.7742"
"151","0.7783","0.7783","0.7718","0.7624","0.7712"
"152","0.7703","0.7765","0.7771","0.7814","0.7831"
"153","0.7693","0.7719","0.774","0.7764","0.77"
"154","0.7694","0.7667","0.7742","0.7796","0.7796"
"155","0.7722","0.7774","0.7781","0.7694","0.7651"
"156","0.7703","0.7666","0.771","0.7829","0.7631"
"157","0.7738","0.773","0.7739","0.7772","0.7684"
"158","0.7817","0.776","0.7696","0.7767","0.7715"
"159","0.7826","0.7672","0.776","0.7741","0.7697"
"160","0.7715","0.7757","0.7761","0.7679","0.7773"
"161","0.7834","0.7798","0.7802","0.7771","0.7883"
"162","0.7906","0.7831","0.7802","0.7845","0.7885"
"163","0.7803","0.7847","0.7814","0.7864","0.7883"
"164","0.7896","0.7861","0.7879","0.786","0.7892"
"165","0.7878","0.7783","0.7864","0.7864","0.7888"
"166","0.7829","0.7889","0.7857","0.7864","0.7938"
"167","0.7921","0.7894","0.7908","0.7945","0.794"
"168","0.7891","0.7906","0.7862","0.7951","0.7897"
"169","0.7859","0.7874","0.7874","0.7919","0.7899"
"170","0.7904","0.7845","0.7859","0.7925","0.7817"
"171","0.7891","0.7879","0.7856","0.7927","0.7938"
"172","0.7901","0.7851","0.7855","0.7915","0.7911"
"173","0.7834","0.7874","0.7848","0.7871","0.7866"
"174","0.7832","0.7835","0.7952","0.7924","0.79"
"175","0.7905","0.7854","0.7925","0.7896","0.7881"
"176","0.7801","0.7878","0.7876","0.7874","0.7921"
"177","0.7836","0.789","0.7908","0.7896","0.7875"
"178","0.788","0.7944","0.7866","0.7863","0.7924"
"179","0.7955","0.7884","0.7911","0.7931","0.7873"
"180","0.7894","0.7827","0.7866","0.7936","0.792"
"181","0.7872","0.7803","0.789","0.7882","0.7849"
"182","0.7907","0.7924","0.7909","0.7919","0.7901"
"183","0.7855","0.7922","0.787","0.7917","0.7845"
"184","0.7899","0.7877","0.7896","0.7952","0.7963"
"185","0.795","0.7861","0.7927","0.7913","0.7968"
"186","0.791","0.7925","0.7874","0.7957","0.7909"
"187","0.7898","0.7891","0.7915","0.7934","0.7956"
"188","0.7796","0.7931","0.7839","0.7958","0.7908"
"189","0.7829","0.79","0.7898","0.796","0.7902"
"190","0.7886","0.7899","0.7936","0.7877","0.7929"
"191","0.7858","0.7869","0.7902","0.7865","0.7875"
"192","0.7914","0.7919","0.7921","0.7865","0.7911"
"193","0.7901","0.7893","0.7936","0.795","0.791"
"194","0.7876","0.791","0.792","0.7914","0.7841"
"195","0.7887","0.7903","0.7866","0.7969","0.7934"
"196","0.7886","0.7909","0.7862","0.7972","0.789"
"197","0.7882","0.7942","0.7856","0.7913","0.7853"
"198","0.7853","0.7828","0.7878","0.7891","0.7874"
"199","0.7959","0.7891","0.788","0.7832","0.7899"
"200","0.7893","0.7916","0.7931","0.79","0.7877"
