Epoch,test_acc1,test_acc2,test_acc3,test_acc4,test_acc5
120,0.6131,0.626,0.6214,0.6324,0.613
121,0.6235,0.6293,0.6258,0.6335,0.6261
122,0.6241,0.6291,0.6236,0.6347,0.6286
123,0.6256,0.6279,0.6246,0.6361,0.6301
124,0.6273,0.6293,0.6253,0.6373,0.6276
125,0.6277,0.6277,0.6259,0.6389,0.6301
126,0.628,0.6285,0.6247,0.6387,0.6309
127,0.6284,0.6296,0.626,0.6369,0.6303
128,0.6286,0.6287,0.6261,0.6377,0.6327
129,0.6314,0.6305,0.6278,0.6379,0.6327
130,0.6294,0.6307,0.6261,0.6395,0.6304
131,0.6308,0.6315,0.6287,0.6386,0.6315
132,0.6317,0.6324,0.6273,0.641,0.6323
133,0.6302,0.6331,0.6289,0.6392,0.6341
134,0.6312,0.6309,0.6282,0.6406,0.6338
135,0.6304,0.6311,0.6278,0.6386,0.6339
136,0.6327,0.6303,0.6276,0.6403,0.6344
137,0.6315,0.6304,0.6289,0.6393,0.6335
138,0.6326,0.6329,0.6299,0.64,0.6349
139,0.6317,0.6332,0.629,0.6394,0.6357
140,0.6329,0.6323,0.6275,0.6398,0.6363
141,0.6305,0.6336,0.6293,0.6409,0.6339
142,0.6333,0.6355,0.6301,0.6417,0.6365
143,0.6327,0.6328,0.6303,0.6402,0.6362
144,0.6344,0.6336,0.6279,0.6411,0.6371
145,0.6343,0.6324,0.6289,0.641,0.6364
146,0.6346,0.6318,0.628,0.6413,0.6349
147,0.6331,0.6316,0.6311,0.641,0.6352
148,0.6332,0.6344,0.6286,0.64,0.6402
149,0.634,0.6331,0.6298,0.6388,0.6368
150,0.6342,0.6338,0.6291,0.6423,0.6364
151,0.6345,0.6345,0.6296,0.6415,0.6356
152,0.6321,0.6323,0.6293,0.6411,0.6347
153,0.6335,0.6332,0.627,0.6408,0.637
154,0.6329,0.6337,0.6286,0.6411,0.6372
155,0.6321,0.6329,0.6272,0.6415,0.6382
156,0.6323,0.6318,0.6296,0.6408,0.6376
157,0.6316,0.6345,0.6314,0.6403,0.6375
158,0.6311,0.6335,0.6281,0.6396,0.6371
159,0.6333,0.6324,0.6303,0.6395,0.6404
160,0.6318,0.6318,0.6302,0.6397,0.6378
161,0.6318,0.631,0.6282,0.6408,0.6386
162,0.6315,0.6315,0.6282,0.6411,0.635
163,0.6318,0.6326,0.6312,0.6413,0.6394
164,0.6324,0.6323,0.6309,0.6411,0.6381
165,0.6329,0.6329,0.6298,0.6412,0.6392
166,0.6323,0.6317,0.6296,0.6409,0.6385
167,0.6314,0.6289,0.6303,0.6402,0.6374
168,0.6324,0.6307,0.6298,0.6389,0.6368
169,0.6323,0.6313,0.6288,0.642,0.6378
170,0.6343,0.6313,0.6273,0.6396,0.6364
171,0.6313,0.6319,0.6292,0.6396,0.6363
172,0.632,0.6315,0.6303,0.6398,0.6379
173,0.6336,0.631,0.6309,0.6401,0.6379
174,0.6313,0.6319,0.6316,0.6416,0.6383
175,0.6318,0.6318,0.6305,0.6408,0.6369
176,0.6319,0.6311,0.628,0.639,0.6356
177,0.6314,0.6313,0.6277,0.6404,0.6371
178,0.633,0.632,0.629,0.6404,0.638
179,0.633,0.6327,0.6303,0.6395,0.6394
180,0.6311,0.6298,0.6293,0.639,0.638
181,0.6325,0.6299,0.6299,0.6405,0.6385
182,0.6319,0.6316,0.6293,0.6405,0.6391
183,0.6328,0.6313,0.6289,0.6404,0.6376
184,0.6318,0.6303,0.6292,0.6401,0.6367
185,0.6335,0.6304,0.6281,0.6389,0.6368
186,0.6301,0.6313,0.6304,0.6405,0.6391
187,0.6318,0.6311,0.6293,0.6401,0.6366
188,0.6325,0.629,0.6269,0.6392,0.6376
189,0.632,0.632,0.6291,0.6411,0.6384
190,0.6311,0.6304,0.6288,0.6411,0.6395
