Epoch,base,base+,cutout,mixup,cutmix,,,,,,,
95,0.5611,0.6956,0.7091,0.7094,0.69,,,,,,,
96,0.5753,0.6903,0.6924,0.704,0.6951,,,,,,,
97,0.6075,0.6772,0.7027,0.7122,0.7056,,,,,,,
98,0.6263,0.6904,0.7022,0.7044,0.6805,,,,,,,
99,0.6309,0.6898,0.6981,0.7245,0.6838,,,,,,,
100,0.6322,0.6861,0.6876,0.7134,0.6889,,,,,,,
101,0.6306,0.6946,0.7034,0.7087,0.6683,,,,,,,
102,0.6341,0.6848,0.6909,0.7121,0.6645,,,,,,,
103,0.6335,0.6912,0.7004,0.6913,0.7045,,,,,,,
104,0.6342,0.7041,0.7066,0.6976,0.6762,,,,,,,
105,0.6379,0.6838,0.6989,0.7202,0.7048,,,,,,,
106,0.6329,0.6921,0.6969,0.7129,0.7074,,,,,,,
107,0.6356,0.6894,0.7063,0.7078,0.7068,,,,,,,
108,0.6352,0.6696,0.699,0.7142,0.7049,,,,,,,
109,0.631,0.6997,0.7037,0.7243,0.7016,,,,,,,
110,0.6338,0.6901,0.6831,0.7051,0.7056,,,,,,,
111,0.6231,0.6797,0.6886,0.7087,0.7018,,,,,,,
112,0.6265,0.6919,0.6914,0.7054,0.6961,,,,,,,
113,0.6263,0.6828,0.6937,0.7157,0.7057,,,,,,,
114,0.6292,0.6858,0.6996,0.7077,0.6886,,,,,,,
115,0.6286,0.6916,0.6983,0.7029,0.6966,,,,,,,
116,0.6281,0.6938,0.6902,0.6959,0.7113,,,,,,,
117,0.6207,0.695,0.7051,0.7053,0.6981,,,,,,,
118,0.6293,0.6949,0.7049,0.7068,0.7143,,,,,,,
119,0.6221,0.6808,0.7041,0.7174,0.6915,,,,,,,
120,0.6231,0.6895,0.7005,0.7258,0.7082,,,,,,,
121,0.6235,0.7512,0.7618,0.7739,0.7635,,,,,,,
122,0.6241,0.7577,0.7634,0.7754,0.7656,,,,,,,
123,0.6256,0.7602,0.7676,0.7733,0.7695,,,,,,,
124,0.6273,0.7635,0.766,0.7735,0.7683,,,,,,,
125,0.6277,0.7598,0.7678,0.7765,0.7674,,,,,,,
126,0.628,0.763,0.7669,0.7782,0.7712,,,,,,,
127,0.6284,0.7595,0.769,0.7777,0.7734,,,,,,,
128,0.6286,0.7624,0.7642,0.7812,0.7686,,,,,,,
129,0.6314,0.7628,0.7639,0.7749,0.7735,,,,,,,
130,0.6294,0.7645,0.7709,0.7807,0.7779,,,,,,,
131,0.6308,0.7652,0.7732,0.7801,0.7783,,,,,,,
132,0.6317,0.7638,0.7688,0.7732,0.777,,,,,,,
133,0.6302,0.7671,0.7673,0.7783,0.7785,,,,,,,
134,0.6312,0.7676,0.766,0.7729,0.7802,,,,,,,
135,0.6304,0.7674,0.7703,0.7747,0.7755,,,,,,,
136,0.6327,0.7664,0.7692,0.7691,0.7693,,,,,,,
137,0.6315,0.769,0.7745,0.7679,0.7766,,,,,,,
138,0.6326,0.7698,0.7682,0.7812,0.7731,,,,,,,
139,0.6317,0.7675,0.7688,0.7724,0.7811,,,,,,,
140,0.6329,0.7689,0.7675,0.7762,0.7798,,,,,,,
141,0.6305,0.7701,0.766,0.7745,0.782,,,,,,,
142,0.6333,0.7695,0.7652,0.7752,0.7748,,,,,,,
143,0.6327,0.7687,0.7667,0.7803,0.7781,,,,,,,
144,0.6344,0.7722,0.7631,0.7713,0.7785,,,,,,,
145,0.6343,0.7717,0.7662,0.7781,0.7773,,,,,,,
146,0.6346,0.7732,0.7711,0.7689,0.7805,,,,,,,
147,0.6331,0.7712,0.7667,0.7804,0.774,,,,,,,
148,0.6332,0.7723,0.7649,0.7765,0.784,,,,,,,
149,0.634,0.7698,0.767,0.7771,0.7733,,,,,,,
150,0.6342,0.772,0.7677,0.7748,0.7737,,,,,,,
151,0.6345,0.7747,0.7649,0.7783,0.7812,,,,,,,
152,0.6321,0.7732,0.766,0.7703,0.7834,,,,,,,
153,0.6335,0.7735,0.766,0.7693,0.7753,,,,,,,
154,0.6329,0.7727,0.7652,0.7694,0.7794,,,,,,,
155,0.6321,0.7732,0.7661,0.7722,0.7776,,,,,,,
156,0.6323,0.7718,0.7667,0.7703,0.7767,,,,,,,
157,0.6316,0.7721,0.7648,0.7738,0.777,,,,,,,
158,0.6311,0.7737,0.7661,0.7817,0.7788,,,,,,,
159,0.6333,0.7735,0.7686,0.7826,0.7782,,,,,,,
160,0.6318,0.7739,0.7641,0.7715,0.7791,,,,,,,
161,0.6318,0.7748,0.7736,0.7834,0.7838,,,,,,,
162,0.6315,0.7756,0.7757,0.7906,0.7826,,,,,,,
163,0.6318,0.7766,0.7742,0.7803,0.7847,,,,,,,
164,0.6324,0.7757,0.7727,0.7896,0.7858,,,,,,,
165,0.6329,0.774,0.7741,0.7878,0.7848,,,,,,,
