"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"111","0.6886","0.7103","0.6982","0.6991","0.6942"
"112","0.6914","0.6988","0.6968","0.7017","0.6993"
"113","0.6937","0.6863","0.6847","0.693","0.6975"
"114","0.6996","0.7016","0.6893","0.6739","0.6902"
"115","0.6983","0.711","0.7091","0.6987","0.7029"
"116","0.6902","0.7088","0.6884","0.6947","0.7073"
"117","0.7051","0.6985","0.6957","0.6995","0.6956"
"118","0.7049","0.7042","0.6874","0.7003","0.707"
"119","0.7041","0.7109","0.6964","0.7094","0.7018"
"120","0.7005","0.6983","0.698","0.6968","0.6806"
"121","0.7618","0.7644","0.7567","0.7665","0.7613"
"122","0.7634","0.7693","0.7609","0.7641","0.7623"
"123","0.7676","0.7662","0.7643","0.7621","0.7598"
"124","0.766","0.7735","0.7628","0.7651","0.7629"
"125","0.7678","0.7714","0.7672","0.7701","0.767"
"126","0.7669","0.7739","0.7671","0.7735","0.7668"
"127","0.769","0.7695","0.7666","0.7654","0.7678"
"128","0.7642","0.7707","0.7666","0.7704","0.7655"
"129","0.7639","0.7748","0.7664","0.7681","0.7661"
"130","0.7709","0.7733","0.7695","0.766","0.7652"
"131","0.7732","0.7729","0.7656","0.7682","0.7677"
"132","0.7688","0.7728","0.766","0.7694","0.767"
"133","0.7673","0.7715","0.7653","0.7715","0.7652"
"134","0.766","0.7706","0.7669","0.7668","0.7673"
"135","0.7703","0.7701","0.7705","0.7664","0.7697"
"136","0.7692","0.7704","0.7668","0.7667","0.7661"
"137","0.7745","0.7683","0.7693","0.7648","0.771"
"138","0.7682","0.7737","0.7693","0.7695","0.7711"
"139","0.7688","0.7734","0.7645","0.7652","0.7682"
"140","0.7675","0.7754","0.7647","0.7675","0.7719"
"141","0.766","0.7697","0.7681","0.7666","0.7685"
"142","0.7652","0.7698","0.7652","0.7649","0.7687"
"143","0.7667","0.7713","0.7576","0.7659","0.7686"
"144","0.7631","0.7752","0.7646","0.7661","0.7675"
"145","0.7662","0.7751","0.7631","0.7671","0.7707"
"146","0.7711","0.7709","0.7685","0.7661","0.7687"
"147","0.7667","0.7715","0.7651","0.7671","0.7675"
"148","0.7649","0.7754","0.7669","0.7668","0.7656"
"149","0.767","0.7687","0.7687","0.7641","0.7693"
"150","0.7677","0.7717","0.766","0.7634","0.768"
"151","0.7649","0.7705","0.7627","0.7602","0.7708"
"152","0.766","0.7759","0.7661","0.76","0.768"
"153","0.766","0.7694","0.765","0.7612","0.7657"
"154","0.7652","0.77","0.76","0.7646","0.7669"
"155","0.7661","0.7706","0.7665","0.7667","0.7642"
"156","0.7667","0.7746","0.7643","0.7633","0.7661"
"157","0.7648","0.7738","0.7623","0.7622","0.7669"
"158","0.7661","0.7671","0.7651","0.766","0.7657"
"159","0.7686","0.769","0.7599","0.7644","0.7644"
"160","0.7641","0.7699","0.7594","0.7674","0.7664"
"161","0.7736","0.7778","0.7711","0.7717","0.7743"
"162","0.7757","0.7809","0.7709","0.7716","0.7734"
"163","0.7742","0.7829","0.7704","0.772","0.7752"
"164","0.7727","0.7821","0.7705","0.7738","0.7763"
"165","0.7741","0.7818","0.7695","0.7734","0.7738"
"166","0.7733","0.7818","0.7714","0.7738","0.7768"
"167","0.7754","0.7839","0.7702","0.7726","0.7741"
"168","0.7744","0.7808","0.7711","0.7709","0.7727"
"169","0.7758","0.781","0.7717","0.7747","0.7761"
"170","0.7728","0.7802","0.7706","0.7725","0.7774"
"171","0.775","0.7809","0.773","0.773","0.7757"
