"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"111","0.7123","0.7123","0.7123","0.7123","0.7123"
"112","0.7235","0.7235","0.7235","0.7235","0.7235"
"113","0.7139","0.7139","0.7139","0.7139","0.7139"
"114","0.7148","0.7148","0.7148","0.7148","0.7148"
"115","0.7165","0.7165","0.7165","0.7165","0.7165"
"116","0.7165","0.7165","0.7165","0.7165","0.7165"
"117","0.7172","0.7172","0.7172","0.7172","0.7172"
"118","0.7265","0.7265","0.7265","0.7265","0.7265"
"119","0.7185","0.7185","0.7185","0.7185","0.7185"
"120","0.7213","0.7213","0.7213","0.7213","0.7213"
"121","0.7845","0.7845","0.7845","0.7845","0.7845"
"122","0.7884","0.7884","0.7884","0.7884","0.7884"
"123","0.789","0.789","0.789","0.789","0.789"
"124","0.7944","0.7944","0.7944","0.7944","0.7944"
"125","0.7855","0.7855","0.7855","0.7855","0.7855"
"126","0.7907","0.7907","0.7907","0.7907","0.7907"
"127","0.7881","0.7881","0.7881","0.7881","0.7881"
"128","0.7902","0.7902","0.7902","0.7902","0.7902"
"129","0.7935","0.7935","0.7935","0.7935","0.7935"
"130","0.789","0.789","0.789","0.789","0.789"
"131","0.7889","0.7889","0.7889","0.7889","0.7889"
"132","0.7915","0.7915","0.7915","0.7915","0.7915"
"133","0.7892","0.7892","0.7892","0.7892","0.7892"
"134","0.7813","0.7813","0.7813","0.7813","0.7813"
"135","0.7866","0.7866","0.7866","0.7866","0.7866"
"136","0.7843","0.7843","0.7843","0.7843","0.7843"
"137","0.7842","0.7842","0.7842","0.7842","0.7842"
"138","0.7823","0.7823","0.7823","0.7823","0.7823"
"139","0.788","0.788","0.788","0.788","0.788"
"140","0.7837","0.7837","0.7837","0.7837","0.7837"
"141","0.7872","0.7872","0.7872","0.7872","0.7872"
"142","0.7821","0.7821","0.7821","0.7821","0.7821"
"143","0.7861","0.7861","0.7861","0.7861","0.7861"
"144","0.782","0.782","0.782","0.782","0.782"
"145","0.784","0.784","0.784","0.784","0.784"
"146","0.782","0.782","0.782","0.782","0.782"
"147","0.7799","0.7799","0.7799","0.7799","0.7799"
"148","0.7794","0.7794","0.7794","0.7794","0.7794"
"149","0.7825","0.7825","0.7825","0.7825","0.7825"
"150","0.7854","0.7854","0.7854","0.7854","0.7854"
"151","0.7827","0.7827","0.7827","0.7827","0.7827"
"152","0.7851","0.7851","0.7851","0.7851","0.7851"
"153","0.781","0.781","0.781","0.781","0.781"
"154","0.7873","0.7873","0.7873","0.7873","0.7873"
"155","0.7829","0.7829","0.7829","0.7829","0.7829"
"156","0.7782","0.7782","0.7782","0.7782","0.7782"
"157","0.7824","0.7824","0.7824","0.7824","0.7824"
"158","0.7822","0.7822","0.7822","0.7822","0.7822"
"159","0.7841","0.7841","0.7841","0.7841","0.7841"
"160","0.7758","0.7758","0.7758","0.7758","0.7758"
"161","0.794","0.794","0.794","0.794","0.794"
"162","0.7982","0.7982","0.7982","0.7982","0.7982"
"163","0.7931","0.7931","0.7931","0.7931","0.7931"
"164","0.7944","0.7944","0.7944","0.7944","0.7944"
"165","0.7989","0.7989","0.7989","0.7989","0.7989"
"166","0.7978","0.7978","0.7978","0.7978","0.7978"
"167","0.7974","0.7974","0.7974","0.7974","0.7974"
"168","0.7965","0.7965","0.7965","0.7965","0.7965"
"169","0.7972","0.7972","0.7972","0.7972","0.7972"
"170","0.7998","0.7998","0.7998","0.7998","0.7998"
"171","0.7982","0.7982","0.7982","0.7982","0.7982"
"172","0.7988","0.7988","0.7988","0.7988","0.7988"
"173","0.801","0.801","0.801","0.801","0.801"
"174","0.7976","0.7976","0.7976","0.7976","0.7976"
"175","0.7988","0.7988","0.7988","0.7988","0.7988"
"176","0.7976","0.7976","0.7976","0.7976","0.7976"
"177","0.8004","0.8004","0.8004","0.8004","0.8004"
"178","0.7955","0.7955","0.7955","0.7955","0.7955"
