""
epoch,train_acc,test_acc
67,0.94688,0.73
68,0.95126,0.7256
69,0.95212,0.7259
70,0.95018,0.7205
71,0.94976,0.7147
72,0.95018,0.7171
73,0.94482,0.7032
74,0.94006,0.7153
75,0.9424,0.6995
76,0.93922,0.698
77,0.93472,0.6933
78,0.93708,0.6923
79,0.936,0.6818
80,0.93156,0.6888
81,0.93118,0.6804
82,0.93606,0.6993
83,0.93532,0.691
84,0.93742,0.6884
85,0.93256,0.6972
86,0.93656,0.6881
87,0.93316,0.6901
88,0.94038,0.6937
89,0.93998,0.6845
90,0.93942,0.6921
91,0.94122,0.6902
92,0.93894,0.6924
93,0.93986,0.6891
94,0.94234,0.6752
95,0.93998,0.6834
96,0.94192,0.6739
97,0.94292,0.6822
98,0.94196,0.6812
99,0.94552,0.6905
100,0.94432,0.6796
101,0.94388,0.6867
102,0.9456,0.6887
103,0.9458,0.6923
104,0.94472,0.6832
105,0.93926,0.6827
106,0.9436,0.6785
107,0.94494,0.6919
108,0.94296,0.6837
109,0.9407,0.6862
110,0.94856,0.6917
111,0.94914,0.6726
112,0.94914,0.6837
113,0.9484,0.6842
114,0.948,0.6895
115,0.94636,0.6951
116,0.94992,0.6846
117,0.94674,0.6736
118,0.9471,0.6868
119,0.95292,0.6888
120,0.94714,0.6912
121,0.9851,0.7494
122,0.9946,0.7546
123,0.99624,0.7554
124,0.99718,0.757
125,0.998,0.7581
126,0.99822,0.7595
127,0.9986,0.7615
128,0.99852,0.7611
129,0.99892,0.7635
130,0.99916,0.7642
131,0.99904,0.7631
132,0.99924,0.7625
133,0.9991,0.7621
134,0.9992,0.7643
135,0.99926,0.7635
136,0.99926,0.7645
137,0.99946,0.764
138,0.9994,0.7667
139,0.99932,0.7675
140,0.99932,0.7649
141,0.99944,0.7654
142,0.9993,0.7671
143,0.99954,0.7651
144,0.99952,0.7661
145,0.99954,0.7671
146,0.99942,0.7672
147,0.9996,0.7664
148,0.99948,0.7662
149,0.99956,0.7673
150,0.99944,0.7671
151,0.99952,0.7678
152,0.9995,0.7694
153,0.99962,0.7688
154,0.99966,0.7673
155,0.99954,0.7669
156,0.9995,0.7677
157,0.99964,0.7692
158,0.99954,0.7699
159,0.99948,0.7715
160,0.99954,0.7691
161,0.99962,0.7704
162,0.99972,0.7706
163,0.99974,0.7687
164,0.99982,0.7686
165,0.99972,0.7694
166,0.99972,0.7708
167,0.99978,0.7692
168,0.99974,0.7723
169,0.99974,0.7711
170,0.99976,0.7699
171,0.99968,0.7709
172,0.99974,0.7717
173,0.99968,0.7713
174,0.99972,0.772
175,0.99976,0.7694
176,0.99972,0.7677
177,0.99966,0.7713
178,0.99964,0.7706
179,0.99976,0.7709
180,0.99966,0.7713
181,0.9998,0.7705
182,0.99968,0.7716
183,0.99972,0.7718
184,0.99966,0.7708
185,0.99966,0.7709
186,0.99976,0.7688
187,0.9998,0.7702
188,0.99968,0.7712
189,0.99986,0.77
190,0.9997,0.7711
191,0.99968,0.7701
192,0.99974,0.7701
193,0.9997,0.7702
194,0.9997,0.7708
195,0.9997,0.7717
196,0.9997,0.771
197,0.9998,0.7703
198,0.99974,0.7712
199,0.99976,0.771
200,0.99974,0.7716
""
epoch,train_acc,test_acc
1,0.0989,0.154
2,0.206,0.2309
3,0.29764,0.3226
4,0.38912,0.3741
5,0.46026,0.4436
6,0.50482,0.4974
7,0.53754,0.5093
8,0.55756,0.5008
9,0.57634,0.4591
10,0.5961,0.5075
11,0.6083,0.5208
12,0.61298,0.513
13,0.62748,0.5592
14,0.63222,0.5681
15,0.64088,0.558
16,0.64526,0.55
17,0.65254,0.5734
18,0.65332,0.5706
19,0.66112,0.5752
20,0.66728,0.5687
21,0.66774,0.5521
22,0.67316,0.5388
23,0.67142,0.5795
24,0.67996,0.5487
25,0.6809,0.5659
26,0.6852,0.5995
27,0.68734,0.5972
28,0.68546,0.579
29,0.68992,0.569
30,0.69374,0.564
31,0.6924,0.5916
32,0.69698,0.5877
33,0.69496,0.5903
34,0.69838,0.565
35,0.70064,0.563
36,0.69856,0.5811
37,0.70272,0.6049
38,0.70178,0.5987
39,0.70668,0.5939
40,0.70556,0.5835
41,0.70826,0.6026
42,0.71054,0.5656
43,0.7059,0.5657
44,0.7117,0.5936
45,0.70922,0.5487
46,0.71114,0.5551
47,0.71004,0.5671
48,0.71334,0.5991
49,0.71118,0.5844
50,0.71652,0.5938
51,0.71456,0.5946
52,0.71194,0.5962
53,0.71684,0.5882
54,0.7172,0.6166
55,0.71828,0.5988
56,0.71784,0.6158
57,0.71924,0.595
58,0.71972,0.584
59,0.7186,0.5889
60,0.71624,0.5681
61,0.84658,0.7355
62,0.88926,0.7368
63,0.91136,0.7436
64,0.92432,0.7399
65,0.93616,0.7444
66,0.94082,0.7367
67,0.94658,0.7361
68,0.951,0.7277
69,0.95446,0.7268
70,0.95206,0.7264
71,0.94948,0.7245
72,0.94808,0.7189
73,0.94656,0.7025
74,0.94546,0.7199
75,0.94726,0.7166
76,0.93972,0.6985
77,0.93502,0.7074
78,0.93744,0.7045
79,0.935,0.693
80,0.93644,0.6948
81,0.93642,0.6906
82,0.93218,0.6831
83,0.93042,0.6839
84,0.9366,0.6936
85,0.93742,0.7049
86,0.93816,0.6898
87,0.93582,0.6941
88,0.93814,0.6904
89,0.93566,0.6818
90,0.93834,0.7014
91,0.94054,0.6959
92,0.93988,0.6895
93,0.94396,0.6897
94,0.94056,0.6839
95,0.94198,0.6963
96,0.94478,0.6791
97,0.94302,0.6948
98,0.94142,0.693
99,0.94476,0.6838
100,0.9482,0.681
101,0.94168,0.6939
102,0.9444,0.6968
103,0.94486,0.6876
104,0.94194,0.677
105,0.9433,0.6813
106,0.94298,0.6872
107,0.94542,0.6943
108,0.9463,0.6936
109,0.94678,0.6906
110,0.94678,0.6869
111,0.94562,0.6826
112,0.9484,0.702
113,0.94966,0.6791
114,0.95036,0.6969
115,0.94928,0.6923
116,0.94916,0.679
117,0.94014,0.6912
118,0.94428,0.6918
119,0.95174,0.6822
120,0.94822,0.687
121,0.9846,0.7551
122,0.99494,0.76
123,0.99644,0.7609
124,0.99748,0.7599
125,0.998,0.7619
126,0.99808,0.7634
127,0.99874,0.7627
128,0.99862,0.7659
129,0.99912,0.7661
130,0.99902,0.7696
131,0.99902,0.7681
132,0.99918,0.7683
133,0.99908,0.7693
134,0.9992,0.7689
135,0.99914,0.7703
136,0.9995,0.7686
137,0.99932,0.7699
