""
epoch,train_acc,test_acc
67,0.99966,0.6259
68,0.99968,0.6292
69,0.99968,0.6282
70,0.99966,0.6279
71,0.99964,0.6279
72,0.99962,0.6269
73,0.99964,0.6266
74,0.99966,0.6285
75,0.99968,0.6296
76,0.99972,0.6304
77,0.99958,0.63
78,0.99974,0.6296
79,0.99968,0.6295
80,0.99972,0.6273
81,0.99968,0.6272
82,0.99968,0.6285
83,0.9997,0.6286
84,0.99968,0.6298
85,0.99966,0.6278
86,0.99962,0.6269
87,0.99956,0.63
88,0.99974,0.627
89,0.99962,0.6273
90,0.99968,0.6283
91,0.99976,0.6276
92,0.99966,0.6188
93,0.99968,0.6217
94,0.9568,0.3473
95,0.78194,0.5193
96,0.9514,0.5557
97,0.98874,0.5884
98,0.99704,0.6053
99,0.99908,0.6176
100,0.99946,0.6247
101,0.99958,0.6273
102,0.99954,0.6304
103,0.99956,0.631
104,0.9997,0.6306
105,0.99966,0.6295
106,0.99962,0.6302
107,0.99964,0.6281
108,0.99958,0.6314
109,0.99974,0.6303
110,0.99972,0.6314
111,0.99964,0.6289
112,0.99964,0.6302
113,0.99972,0.629
114,0.99946,0.5695
115,0.72864,0.5073
116,0.86496,0.5234
117,0.95374,0.5508
118,0.98582,0.5763
119,0.99624,0.6071
120,0.99916,0.626
121,0.99962,0.6293
122,0.99966,0.6291
123,0.99976,0.6279
124,0.99972,0.6293
125,0.99968,0.6277
126,0.99964,0.6285
127,0.9997,0.6296
128,0.99972,0.6287
129,0.99978,0.6305
130,0.99974,0.6307
131,0.99978,0.6315
132,0.99974,0.6324
133,0.99976,0.6331
134,0.99974,0.6309
135,0.99984,0.6311
136,0.99976,0.6303
137,0.99976,0.6304
138,0.99978,0.6329
139,0.99976,0.6332
140,0.99976,0.6323
141,0.99972,0.6336
142,0.9997,0.6355
143,0.99974,0.6328
144,0.99974,0.6336
145,0.9998,0.6324
146,0.9998,0.6318
147,0.99972,0.6316
148,0.9997,0.6344
149,0.9998,0.6331
150,0.99978,0.6338
151,0.99976,0.6345
152,0.99972,0.6323
153,0.99974,0.6332
154,0.99978,0.6337
155,0.9998,0.6329
156,0.99978,0.6318
157,0.99976,0.6345
158,0.99976,0.6335
159,0.99976,0.6324
160,0.99974,0.6318
161,0.99976,0.631
162,0.9998,0.6315
163,0.9998,0.6326
164,0.9999,0.6323
165,0.9998,0.6329
166,0.99984,0.6317
167,0.99974,0.6289
168,0.99978,0.6307
169,0.9997,0.6313
170,0.99982,0.6313
171,0.99982,0.6319
172,0.99976,0.6315
173,0.99974,0.631
174,0.99982,0.6319
175,0.99984,0.6318
176,0.99984,0.6311
177,0.9999,0.6313
178,0.99974,0.632
179,0.99978,0.6327
180,0.99976,0.6298
181,0.99984,0.6299
182,0.99982,0.6316
183,0.99982,0.6313
184,0.99994,0.6303
185,0.99984,0.6304
186,0.99978,0.6313
187,0.9998,0.6311
188,0.99986,0.629
189,0.99978,0.632
190,0.99976,0.6304
191,0.99974,0.6317
192,0.99982,0.6322
193,0.99986,0.6306
194,0.99986,0.6312
195,0.9998,0.6309
196,0.99982,0.6308
197,0.99984,0.6298
198,0.99986,0.6291
199,0.99982,0.6293
200,0.9998,0.6303
""
epoch,train_acc,test_acc
1,0.12242,0.1931
2,0.26514,0.2789
3,0.39032,0.4021
4,0.48212,0.4429
5,0.5547,0.4806
6,0.60988,0.4899
7,0.65326,0.4914
8,0.6933,0.4858
9,0.72466,0.4976
10,0.75758,0.5007
11,0.77956,0.506
12,0.80068,0.4927
13,0.81254,0.5188
14,0.8235,0.502
15,0.8364,0.4863
16,0.84112,0.4516
17,0.84234,0.496
18,0.84954,0.4814
19,0.85074,0.5032
20,0.86168,0.4872
21,0.85634,0.4864
22,0.85546,0.4816
23,0.86384,0.4747
24,0.86258,0.4867
25,0.86408,0.4514
26,0.86478,0.4801
27,0.86274,0.4796
28,0.87002,0.4876
29,0.86384,0.4668
30,0.86946,0.4723
31,0.86146,0.4828
32,0.87576,0.4907
33,0.86994,0.4758
34,0.87688,0.4794
35,0.86706,0.471
36,0.87498,0.4901
37,0.87064,0.4675
