""
epoch,train_acc,test_acc
67,0.8112,0.7126
68,0.81422,0.7168
69,0.8156,0.7207
70,0.81664,0.7211
71,0.81606,0.7126
72,0.8177,0.7165
73,0.8182,0.7106
74,0.81606,0.7118
75,0.82006,0.7173
76,0.82002,0.7059
77,0.81866,0.7105
78,0.8178,0.6897
79,0.82096,0.695
80,0.826,0.6941
81,0.8246,0.6956
82,0.82792,0.7028
83,0.82786,0.6978
84,0.82594,0.713
85,0.82818,0.6951
86,0.83114,0.7083
87,0.82928,0.6994
88,0.83326,0.7071
89,0.8294,0.7065
90,0.83626,0.6999
91,0.83682,0.6988
92,0.83878,0.6966
93,0.83848,0.6968
94,0.84056,0.6985
95,0.83864,0.6886
96,0.84534,0.6957
97,0.84578,0.7056
98,0.84416,0.6931
99,0.84598,0.6903
100,0.84382,0.6945
101,0.84466,0.7012
102,0.84966,0.6986
103,0.84608,0.6889
104,0.8491,0.714
105,0.84912,0.6906
106,0.85344,0.6982
107,0.85272,0.6981
108,0.85044,0.6958
109,0.8519,0.7083
110,0.85544,0.7026
111,0.85482,0.6754
112,0.85374,0.6975
113,0.85524,0.6954
114,0.8578,0.7025
115,0.85786,0.6884
116,0.85762,0.6994
117,0.85858,0.6883
118,0.85834,0.6995
119,0.85952,0.6915
120,0.85662,0.6904
121,0.92532,0.7597
122,0.94684,0.7621
123,0.95432,0.7617
124,0.9586,0.766
125,0.96068,0.7646
126,0.9639,0.7688
127,0.9657,0.7648
128,0.96682,0.7687
129,0.96844,0.7661
130,0.97044,0.7712
131,0.9719,0.7683
132,0.97276,0.7668
133,0.9737,0.768
134,0.97528,0.7652
135,0.97516,0.7639
136,0.97384,0.7667
137,0.97656,0.7687
138,0.97594,0.7709
139,0.9769,0.7643
140,0.97796,0.7666
141,0.97672,0.7663
142,0.97732,0.7641
143,0.97774,0.7703
144,0.97866,0.7684
145,0.97766,0.7653
146,0.97996,0.7663
147,0.97902,0.764
148,0.97882,0.7716
149,0.9791,0.7643
150,0.9803,0.7627
151,0.9802,0.7647
152,0.98008,0.7695
153,0.98044,0.7669
154,0.97964,0.7615
155,0.98136,0.7643
156,0.98068,0.7651
157,0.98114,0.7631
158,0.98158,0.7641
159,0.98148,0.7658
160,0.97988,0.7652
161,0.98528,0.77
162,0.98708,0.7723
163,0.98714,0.7717
164,0.9885,0.7708
165,0.98906,0.771
166,0.98954,0.7736
167,0.98868,0.7729
